0j,0j,0j,(0.08026602731023756+0.017872341359284647j),0j,(0.3002205268371879+0.04479765867774144j),(-0.24179504788720313+0.147962568710399j),0j,0j,(-0.25328896927549976-0.13866876670127887j),(-0.236003729281511+0.009457832047185411j),0j,(-0.0603884940433919+0.07893321513545755j),0j,0j,0j,0j,(0.12203334035988253+0.3379257128417039j),(0.28497418234904104-0.05157653856194111j),0j,(-0.31061699603710047-0.09133084699723894j),0j,0j,0j,(0.14241618831806632+0.1744882622959782j),0j,0j,0j,0j,0j,0j,0j,0j,(0.06072216719886752-0.07698992631305904j),(-0.21658455035273252+0.24701522239252874j),0j,(0.36032386028322294+0.08028360018411278j),0j,0j,0j,(-0.1966754299889858-0.08013069996170342j),0j,0j,0j,0j,0j,0j,0j,(0.059664774137135994-0.026501106347436836j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(0.13127938322452548+0.3638371358130877j),0j,0j,0j,(0.0983937922189747-0.3061481334975732j),0j,(0.2864954074559783+0.2002150425545012j),(-0.3078006567807769-0.01215502704485056j),0j,0j,0j,0j,(0.25385361121710426+0.2200901737251186j),0j,(0.2961499175461501+0.10339485005266047j),(0.08484563556070958+0.0905330268490593j),0j,0j,(-0.01912957804114455-0.08962020750119111j),(-0.12471160071832123-0.013515114532500552j),0j,(0.06532382716521916-0.009319123172201134j),0j,0j,0j,0j,0j,0j,(-0.2961644529456866-0.032779339494408706j),0j,(0.08891832457513621+0.06745334032426191j),(-0.026268355250464438+0.2439016988719449j),0j,0j,(-0.12602778873497192-0.028466342792686672j),(-0.17729324502388322+0.08528613126866498j),0j,(0.1186829949962024+0.018871318212048408j),0j,0j,0j,0j,(0.060684285854603115-0.003733439207535874j),(0.12486059422635383+0.01927339995415304j),0j,(-0.023133380530496975-0.14710421344781405j),0j,0j,0j,(-0.01689883639566355+0.03720113110859844j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,(0.11332890013593323-0.16103108720870046j),0j,(-0.023171246087617933+0.22066196668801752j),(0.014903384201596308+0.2987711601413896j),0j,0j,(-0.09736777030488178+0.2023146595880233j),(-0.05404292666418071+0.07173093190717907j),0j,(-0.4482557949162384-0.3651125482524264j),0j,0j,0j,0j,(0.05777649543332718-0.08484523862842418j),(-0.19359127377217428+0.04440488891205835j),0j,(-0.060388494043392436+0.07893321513545631j),0j,0j,0j,(0.006579155332075263+0.2926304710795251j),0j,0j,0j,0j,0j,0j,0j,0j,(0.29762819464223966+0.23115736454444166j),(0.04254354868736351-0.061431361335390115j),0j,(-0.09511123786890485+0.19027312525032855j),0j,0j,0j,(-0.036874792897683986+0.22530841201068083j),0j,0j,0j,0j,0j,0j,0j,(0.12158909532386608-0.15651078273500577j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(0.04725658843432694+0.04581576394569392j),0j,0j,0j,(0.25385361121710437+0.22009017372511813j),0j,(-0.2857516088117975+0.13411021475349366j),(-0.25368581524656236+0.020496947950398272j),0j,0j,0j,0j,(0.3688010262276386-0.3917943346559247j),0j,(-0.07644844720753212+0.09634829011171916j),(-0.20862347885146842-0.05894318478481053j),0j,0j,(0.008504160799102187+0.024179524737095417j),(-0.042328539571054154-0.07314053678714288j),0j,(0.06016814910010288+0.08345594031635799j),0j,0j,0j,0j,0j,0j,(-0.14402445377252576+0.20171425637283336j),0j,(-0.14667662880889085+0.2851829026332001j),(-0.048022136892099464+0.19013451509947799j),0j,0j,(0.1234088960620737+0.20379705957972022j),(0.22136548369483264+0.026605293999176927j),0j,(0.00986409421616429-0.029145242852472213j),0j,0j,0j,0j,(0.06302024337097689-0.0853532477017828j),(-0.10005721748104247-0.02317321312160218j),0j,(0.1186829949962027+0.01887131821204832j),0j,0j,0j,(-0.0411027456500536-0.015987530754592572j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(0.2785670156151035+0.01968776146997037j),0j,0j,0j,(-0.2961644529456858-0.032779339494407984j),0j,(-0.24421478318942974+0.01287553661697122j),(-0.4601023344383013+0.008450801512603995j),0j,0j,0j,0j,(-0.1440244537725257+0.2017142563728342j),0j,(-0.11679628692558384+0.11724286889839483j),(-0.18254936113740153+0.1664570697821671j),0j,0j,(-0.09241808337353959+0.19677779087384803j),(0.07105336744844362+0.2097673493742541j),0j,(0.0967274829345489-0.006254939659567189j),0j,0j,0j,0j,0j,0j,(0.4241459137108501+0.13348837482782328j),0j,(0.0270486611503876+0.1207676181017564j),(-0.12103108495414365-0.0270945467960122j),0j,0j,(-0.11888702031254991-0.002099794305466797j),(-0.10304090510870524+0.03443657563963722j),0j,(0.06016814910010347+0.0834559403163578j),0j,0j,0j,0j,(0.16453278721542644+0.012422927796948991j),(0.05646131551381163-0.07051979335732228j),0j,(0.06532382716521905-0.009319123172201153j),0j,0j,0j,(-0.03306500672862352-0.017724083444788645j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.28328481412256484+0.6477106024600111j),0j,0j,0j,0j,0j,0j,0j,(0.3638199419905022+0.23614109472078257j),0j,0j,0j,(0.1148688797187384+0.012016531330534898j),0j,(0.06764564078205884+0.07109842896300857j),(0.026030083566214873-0.11237658991608877j),0j,0j,0j,0j,0j,0j,0j,0j,(0.3838326143012685+0.20437736448283042j),0j,0j,0j,(0.080266027310238+0.01787234135928462j),0j,(0.05503130618636092+0.07010961904532564j),(0.030545983896837808-0.0863098572109327j),0j,0j,0j,0j,(0.11332890013593243-0.16103108720870077j),0j,(0.06627672737511324-0.037407595014365434j),(-0.06302156133870862-0.08821154398148952j),0j,0j,(-0.03909205067813797-0.018520636183234806j),(-0.05964415749880386+0.03819848279499262j),0j,(0.01980880212857639+0.00561028994630773j),0j,0j,0j
0j,(-0.15748568033024388-0.23075506934903556j),(0.46494290758925694+0.11629430129588765j),0j,(-0.15222637321031635+0.42114299052459764j),0j,0j,0j,(-0.05406517953331482-0.35005760462621355j),0j,0j,0j,0j,0j,0j,0j,(0.43955670293952936+0.19265550284178076j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.300163546977508+0.21408418077328586j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,(0.0676456407820583+0.07109842896300922j),0j,(-0.012754803373145164-0.24787974125720005j),(-0.17264898559018374+0.21687728066681047j),0j,0j,(0.34258738351547735-0.18692242447602483j),(0.16891726191624684+0.3239239879530628j),0j,(0.04254354868736378-0.06143136133539013j),0j,0j,0j,0j,(-0.26273815955915264+0.024343355368265346j),(0.08821429251520377+0.27544934278011113j),0j,(-0.21658455035273189+0.24701522239252868j),0j,0j,0j,(0.29750132344298014-0.10855778437721146j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.2514057810564655+0.2187402330054056j),(-0.06869716577502062-0.07266219335878012j),0j,(-0.03710095924061761+0.2058500149270823j),0j,0j,0j,(-0.10602419357646951+0.11742790766325349j),0j,0j,0j,0j,0j,0j,0j,(0.04225675738234206-0.08634605245590389j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,(0.055031306186360915+0.07010961904532664j),0j,(-0.0032789953980025517-0.3478921190708137j),(-0.07817838649392007+0.2730105613327134j),0j,0j,(0.020075100898987695+0.05468499102353199j),(0.28249412859529266-0.07728071800543855j),0j,(-0.1935912737721757+0.0444048889120594j),0j,0j,0j,0j,(0.0730040752086804+0.2859313764171633j),(-0.35173676517232144+0.15266197972689977j),0j,(0.28497418234904087-0.05157653856194076j),0j,0j,0j,(-0.12154553782354059+0.25476028227847664j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.18607244350794286-0.09263403175846521j),(0.08821429251520432+0.2754493427801104j),0j,(0.0217844886183808+0.07383279478872373j),0j,0j,0j,(0.05724048008546247-0.34824453682680345j),0j,0j,0j,0j,0j,0j,0j,(0.04054129159297462+0.07152763286438635j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(0.04213177419698867+0.056948673290571634j),0j,0j,0j,(0.28649540745597935+0.20021504255450043j),0j,(0.29717393891038335-0.4271636858585236j),(-0.10353723995937832+0.24213433557041505j),0j,0j,0j,0j,(-0.28575160881179723+0.13411021475349347j),0j,(-0.1127322546350502+0.0982012763478943j),(-0.13462317247352304+0.29222800779669506j),0j,0j,(-0.004169587177341052+0.02550246325467499j),(0.14157039110208688+0.17262816939329934j),0j,(0.05646131551381174-0.07051979335732235j),0j,0j,0j,0j,0j,0j,(-0.24421478318942844+0.012875536616969243j),0j,(-0.2240178557596149-0.04710188401905959j),(-0.02604549521221948+0.18341397870222265j),0j,0j,(-0.05072492064326032-0.06757612050667851j),(0.23069917491357492+0.004826869551974j),0j,(-0.10005721748104253-0.023173213121602095j),0j,0j,0j,0j,(0.0688604591107689+0.08604243227135892j),(-0.0005442503869008746-0.028740853121851543j),0j,(0.12486059422635397+0.019273399954152875j),0j,0j,0j,(-0.043014527897483196-0.01604443447756969j),0j,0j,0j,0j,0j,0j,0j
